12, 0, 3
13, 0, 3
14, 0, 3
9, 0, 4
10, 0, 4
11, 0, 4
12, 0, 4
13, 0, 4
14, 0, 4
9, 0, 5
10, 0, 5
11, 0, 5
12, 0, 5
13, 0, 5
14, 0, 5
9, 0, 6
10, 0, 6
11, 0, 6
12, 0, 6
13, 0, 6
14, 0, 6
9, 0, 7
10, 0, 7
11, 0, 7
12, 0, 7
13, 0, 7
14, 0, 7
9, 0, 8
10, 0, 8
11, 0, 8
12, 0, 8
13, 0, 8
14, 0, 8
10, 1, 2
11, 1, 2
12, 1, 2
13, 1, 2
14, 1, 2
15, 1, 2
8, 1, 3
9, 1, 3
10, 1, 3
11, 1, 3
15, 1, 3
16, 1, 3
8, 1, 4
15, 1, 4
16, 1, 4
17, 1, 4
7, 1, 5
8, 1, 5
15, 1, 5
16, 1, 5
17, 1, 5
7, 1, 6
8, 1, 6
15, 1, 6
16, 1, 6
17, 1, 6
7, 1, 7
8, 1, 7
15, 1, 7
16, 1, 7
17, 1, 7
8, 1, 8
15, 1, 8
16, 1, 8
17, 1, 8
9, 1, 9
10, 1, 9
11, 1, 9
12, 1, 9
13, 1, 9
14, 1, 9
15, 1, 9
9, 2, 1
10, 2, 1
11, 2, 1
12, 2, 1
13, 2, 1
14, 2, 1
15, 2, 1
8, 2, 2
9, 2, 2
16, 2, 2
17, 2, 2
6, 2, 3
7, 2, 3
17, 2, 3
18, 2, 3
6, 2, 4
7, 2, 4
18, 2, 4
19, 2, 4
6, 2, 5
18, 2, 5
19, 2, 5
6, 2, 6
18, 2, 6
19, 2, 6
6, 2, 7
18, 2, 7
19, 2, 7
6, 2, 8
7, 2, 8
18, 2, 8
7, 2, 9
8, 2, 9
9, 2, 9
16, 2, 9
17, 2, 9
18, 2, 9
10, 2, 10
11, 2, 10
12, 2, 10
13, 2, 10
14, 2, 10
15, 2, 10
16, 2, 10
6, 2, 13
7, 2, 13
8, 2, 13
9, 2, 13
6, 2, 14
7, 2, 14
8, 2, 14
9, 2, 14
6, 2, 15
7, 2, 15
8, 2, 15
9, 2, 15
6, 2, 16
7, 2, 16
8, 2, 16
9, 2, 16
11, 3, 0
12, 3, 0
13, 3, 0
14, 3, 0
7, 3, 1
8, 3, 1
9, 3, 1
10, 3, 1
15, 3, 1
16, 3, 1
17, 3, 1
6, 3, 2
7, 3, 2
18, 3, 2
5, 3, 3
19, 3, 3
20, 3, 3
5, 3, 4
20, 3, 4
5, 3, 5
20, 3, 5
21, 3, 5
5, 3, 6
20, 3, 6
21, 3, 6
5, 3, 7
20, 3, 7
21, 3, 7
5, 3, 8
19, 3, 8
20, 3, 8
6, 3, 9
7, 3, 9
18, 3, 9
19, 3, 9
8, 3, 10
9, 3, 10
10, 3, 10
11, 3, 10
12, 3, 10
13, 3, 10
14, 3, 10
15, 3, 10
16, 3, 10
17, 3, 10
6, 3, 11
7, 3, 11
8, 3, 11
9, 3, 11
5, 3, 12
6, 3, 12
7, 3, 12
8, 3, 12
9, 3, 12
10, 3, 12
4, 3, 13
5, 3, 13
10, 3, 13
11, 3, 13
4, 3, 14
5, 3, 14
10, 3, 14
11, 3, 14
4, 3, 15
5, 3, 15
10, 3, 15
11, 3, 15
4, 3, 16
5, 3, 16
10, 3, 16
11, 3, 16
5, 3, 17
6, 3, 17
7, 3, 17
8, 3, 17
9, 3, 17
10, 3, 17
6, 3, 18
7, 3, 18
8, 3, 18
9, 3, 18
8, 4, 0
9, 4, 0
10, 4, 0
11, 4, 0
12, 4, 0
13, 4, 0
14, 4, 0
15, 4, 0
16, 4, 0
6, 4, 1
7, 4, 1
17, 4, 1
18, 4, 1
5, 4, 2
19, 4, 2
4, 4, 3
20, 4, 3
4, 4, 4
21, 4, 4
4, 4, 5
22, 4, 5
4, 4, 6
